grapheme,phoneme
a,a
à,a
â,ɑ
b,b
c,k
ç,s
ch,ʃ
d,d
e,ə
è,ɛ
é,e
ê,e
f,f
g,ɡ
h,
i,i
î,i
j,ʒ
k,k
l,l
m,m
n,n
o,ɔ
ô,o
p,p
qu,k
r,ʁ
s,s
ss,s
t,t
u,y
û,y
v,v
w,w
x,ks
xh,ʃ
y,j
z,z
